"","Gene_Symbol","Ensembl_ID","PGG_Family","F_Statistic","P_Value","FDR"
"13926","MYADM","ENST00000521259","pgAmat1401.csv","217.401617853883","2.24819854092132e-45","1.76606214473646e-43"
"8767","MEST","ENST00000368864","NA","216.48452602499","3.3225553210452e-45","2.5982081926834e-43"
"6804","KLF2","ENST00000443590","pgAmat6851.csv","216.390123497087","3.45892024172938e-45","2.69266034313366e-43"
"9202","TIMM17A","ENST00000416198","pgAmat20596.csv","215.829151783142","4.39306685108776e-45","3.40452831033627e-43"
"1509","RP11-446H18.1","ENST00000360472","NA","214.633941408045","7.31346710038037e-45","5.64247046557025e-43"
"17224","SOCS5","ENST00000532761","pgAmat10241.csv","214.606027648359","7.40108318194131e-45","5.68468975779154e-43"
"14976","RPL23AP49",NA,"NA","214.373572170504","8.1727765142991e-45","6.24964264248305e-43"
"1681","HNRNPAB",NA,"NA","212.356975190908","1.93353590784563e-44","1.4720426237616e-42"
"2890","RP11-835E18.4","ENST00000472594","NA","211.388871502151","2.92471483684201e-44","2.21688253553963e-42"
"4510","ZNF561","ENST00000455326","NA","210.210512449725","4.84194359696306e-44","3.65408162631946e-42"
"8166","PLEKHA8P1",NA,"NA","210.107317434958","5.06060016131106e-44","3.80249095599033e-42"
"313","FRG1HP","ENST00000539533","pgAmat22504.csv","209.922831194968","5.47644388832459e-44","4.0971386700444e-42"
"16672","PARP1","ENST00000483197","pgAmat24625.csv","209.370853785102","6.93650284290448e-44","5.16709664358082e-42"
"14977","ENPP7P2",NA,"NA","209.241436447986","7.33182492710035e-44","5.43813726996345e-42"
"11062","CFL1",NA,"NA","208.666668404106","9.37876890477858e-44","6.92666171847792e-42"
"1621","KCTD10","ENST00000269349","NA","208.48031803657","1.01584001927943e-43","7.47053072901578e-42"
"16830","PDGFA","ENST00000242719","NA","205.718600479691","3.32145316689608e-43","2.43226074704653e-41"
"4330","DHX9","ENST00000345088","NA","205.507246146464","3.63702029086841e-43","2.65210905767037e-41"
"13022","FAM71A",NA,"NA","205.176815709441","4.1916324431121e-43","3.04368873453207e-41"
"4153","EIF2AK1","ENST00000626472","NA","205.105409039718","4.32220264624781e-43","3.12536845742488e-41"
"9141","SEPT10P1","ENST00000416911","pgAmat44052.csv","204.786963025274","4.95591923430121e-43","3.5686748419664e-41"
"5491","SLC47A1P1",NA,"NA","204.148591003534","6.52048919043833e-43","4.67581303689441e-41"
"10014","EEF1A1P9",NA,"NA","203.804155475387","7.56126072212801e-43","5.39973999172795e-41"
"13285","CTBP2P8",NA,"NA","201.844613065551","1.75709076726578e-42","1.24522097317304e-40"
"3220","RP11-730A19.5","ENST00000441462","pgAmat1341.csv","201.843286667172","1.75809465023853e-42","1.24522097317304e-40"
"8090","RP11-96C23.11",NA,"NA","200.369727197947","3.31717290823188e-42","2.33989315102299e-40"
"3088","PMM2","ENST00000599191","pgAmat15087.csv","198.954782320318","6.10670313632834e-42","4.27952908797881e-40"
"12194","NABP2","ENST00000489915","pgAmat1191.csv","198.951089230921","6.11644303165586e-42","4.27952908797881e-40"
"5982","RP11-64C12.9",NA,"NA","197.492092146899","1.14836119839581e-41","8.00241057688565e-40"
"13082","RPS4XP5",NA,"NA","193.751767818488","5.79132548721313e-41","4.01950550481997e-39"
"6186","HNRNPC","ENST00000469409","NA","193.576333976177","6.24862641149013e-41","4.3195504657349e-39"
"12623","FAM187B2P","ENST00000582730","NA","193.39704458864","6.75337641700286e-41","4.64987455134038e-39"
"1576","DAP3","ENST00000425356","pgAmat7434.csv","192.765935325342","8.87790766437172e-41","6.08841270855841e-39"
"200","HNRNPA2B1","ENST00000634429","NA","192.549941322988","9.74941420996084e-41","6.65965914531791e-39"
"575","LINC00982","ENST00000620078","NA","192.157221963191","1.15594549880843e-40","7.86498035842804e-39"
